id,question
a7f6bd015c004e119b4a7851e6cd6be9,Can you describe data abstraction?
a7f6bd015c004e119b4a7851e6cd6be9,How does data abstraction work?
a7f6bd015c004e119b4a7851e6cd6be9,What's the purpose of data abstraction?
a7f6bd015c004e119b4a7851e6cd6be9,Can you explain the concept of data abstraction?
a7f6bd015c004e119b4a7851e6cd6be9,How is data abstraction achieved?
92f052f4f4ce801106782f0d7a0c8323,Define syntax error
92f052f4f4ce801106782f0d7a0c8323,What causes syntax errors?
92f052f4f4ce801106782f0d7a0c8323,How do syntax errors happen?
92f052f4f4ce801106782f0d7a0c8323,Where do syntax errors occur?
92f052f4f4ce801106782f0d7a0c8323,When does a syntax error arise?
6b4a9dade55d1c98ec480e6ef73ffe97,What does program documentation entail?
6b4a9dade55d1c98ec480e6ef73ffe97,How does program documentation help developers?
6b4a9dade55d1c98ec480e6ef73ffe97,Why document program design?
6b4a9dade55d1c98ec480e6ef73ffe97,What role does program documentation play in maintenance?
6b4a9dade55d1c98ec480e6ef73ffe97,What benefits does program documentation offer users?
39bdbfbbbfddfb39565df0e771ae909f,Define software testing.
39bdbfbbbfddfb39565df0e771ae909f,Purpose of software testing?
39bdbfbbbfddfb39565df0e771ae909f,Types of testing in software?
39bdbfbbbfddfb39565df0e771ae909f,Why is software testing essential?
39bdbfbbbfddfb39565df0e771ae909f,Methods of conducting software testing?
da894b7f82f9ca1bbb3da9a721541ecc,What is a data structure?
da894b7f82f9ca1bbb3da9a721541ecc,Can you define data structures?
da894b7f82f9ca1bbb3da9a721541ecc,Describe the purpose of a data structure.
da894b7f82f9ca1bbb3da9a721541ecc,Explain the importance of data structures.
da894b7f82f9ca1bbb3da9a721541ecc,What are examples of data structures?
5235828967c2873f658475c7d17ae476,What is a BST?
5235828967c2873f658475c7d17ae476,Describe a binary search tree.
5235828967c2873f658475c7d17ae476,Purpose of a BST?
5235828967c2873f658475c7d17ae476,How does a binary search tree work?
5235828967c2873f658475c7d17ae476,Where are binary search trees used?
369e91c0b890a8885d30af3a59fb0de3,Explain dynamic data structures.
369e91c0b890a8885d30af3a59fb0de3,How do dynamic data structures differ from static ones?
369e91c0b890a8885d30af3a59fb0de3,Why use dynamic data structures?
369e91c0b890a8885d30af3a59fb0de3,What are examples of dynamic data structures?
369e91c0b890a8885d30af3a59fb0de3,What are advantages and disadvantages of dynamic data structures?
509993433038924b799693cb8b769cd1,What is a doubly linked list?
509993433038924b799693cb8b769cd1,How does a doubly linked list work?
509993433038924b799693cb8b769cd1,Benefits of using a doubly linked list?
509993433038924b799693cb8b769cd1,Doubly linked list vs single linked list?
509993433038924b799693cb8b769cd1,Memory use in doubly linked lists?
b2cfcef0f0b401d633ee26bc47de1d72,Explain logistic regression briefly.
b2cfcef0f0b401d633ee26bc47de1d72,Describe how logistic regression works in classification.
b2cfcef0f0b401d633ee26bc47de1d72,How does logistic regression predict binary outcomes?
b2cfcef0f0b401d633ee26bc47de1d72,What makes logistic regression suitable for classification?
b2cfcef0f0b401d633ee26bc47de1d72,What function does logistic regression use?
d916e5f482324fc459c3153e269aa49b,Explain what a decision tree does
d916e5f482324fc459c3153e269aa49b,What is a decision tree model?
d916e5f482324fc459c3153e269aa49b,How does a decision tree make predictions?
d916e5f482324fc459c3153e269aa49b,What are the components of a decision tree?
d916e5f482324fc459c3153e269aa49b,Why are decision trees popular in machine learning?
e4f0aead7d2bf73f047d5481877ae6b5,What is a confusion matrix?
e4f0aead7d2bf73f047d5481877ae6b5,How does a confusion matrix work?
e4f0aead7d2bf73f047d5481877ae6b5,Define confusion matrix in classification
e4f0aead7d2bf73f047d5481877ae6b5,What info does a confusion matrix provide?
e4f0aead7d2bf73f047d5481877ae6b5,Why use a confusion matrix in algorithms?
95a3eccd200a4ce37e99d47a0b3913bf,What does bias mean in the context of data science?
95a3eccd200a4ce37e99d47a0b3913bf,How can bias affect predictions in algorithms?
95a3eccd200a4ce37e99d47a0b3913bf,Why is identifying bias crucial in data models?
95a3eccd200a4ce37e99d47a0b3913bf,What causes bias when modeling data?
95a3eccd200a4ce37e99d47a0b3913bf,How can we address systematic error in data science?
5946de839f00b7a314f6a166bcd537c2,What does dimensionality reduction mean?
5946de839f00b7a314f6a166bcd537c2,How does dimensionality reduction work?
5946de839f00b7a314f6a166bcd537c2,Why use dimensionality reduction in data preprocessing?
5946de839f00b7a314f6a166bcd537c2,What are methods of dimensionality reduction?
5946de839f00b7a314f6a166bcd537c2,How does dimensionality reduction aid machine learning?
e1e8d83518e4c6d0af7a0658d40fadd6,Explain DBMS.
e1e8d83518e4c6d0af7a0658d40fadd6,Define a database management system.
e1e8d83518e4c6d0af7a0658d40fadd6,What does DBMS do?
e1e8d83518e4c6d0af7a0658d40fadd6,Describe the role of a DBMS.
e1e8d83518e4c6d0af7a0658d40fadd6,How does a DBMS work?
303b2eba0c33e6a2d24e0018efb38039,What distinguishes normalization from de-normalization in databases?
303b2eba0c33e6a2d24e0018efb38039,How does normalization help reduce redundancy in a database?
303b2eba0c33e6a2d24e0018efb38039,Why might someone choose to de-normalize a database?
303b2eba0c33e6a2d24e0018efb38039,What are the trade-offs of using de-normalization?
303b2eba0c33e6a2d24e0018efb38039,How do you decide between normalizing and de-normalizing a database?
cb5df26c4a1a416108a4bd89d89e1b37,Define BCNF.
cb5df26c4a1a416108a4bd89d89e1b37,Difference between BCNF and 3NF?
cb5df26c4a1a416108a4bd89d89e1b37,BCNF vs 3NF?
cb5df26c4a1a416108a4bd89d89e1b37,Explain BCNF restrictions.
cb5df26c4a1a416108a4bd89d89e1b37,Why is BCNF used in databases?
665c47fd618eb375bf6472b3effc2e22,What's the degree of a relation?
665c47fd618eb375bf6472b3effc2e22,How many attributes are in a DBMS relation?
665c47fd618eb375bf6472b3effc2e22,Explain relation degree in databases.
665c47fd618eb375bf6472b3effc2e22,What defines a unary relation?
665c47fd618eb375bf6472b3effc2e22,What does relation degree mean in DBMS?
a5b8c5de9ab1cde8eff90c1cc368c865,What distinguishes strong AI from weak AI?
a5b8c5de9ab1cde8eff90c1cc368c865,How do strong and weak AI differ?
a5b8c5de9ab1cde8eff90c1cc368c865,Explain the contrast between strong and weak AI.
a5b8c5de9ab1cde8eff90c1cc368c865,Describe differences in capabilities of strong vs. weak AI.
a5b8c5de9ab1cde8eff90c1cc368c865,What makes strong AI more versatile than weak AI?
47398e0b58df02bad7706c68187ced0f,What is an AI expert system?
47398e0b58df02bad7706c68187ced0f,Explain AI expert system's functions.
47398e0b58df02bad7706c68187ced0f,Describe expert systems in AI.
47398e0b58df02bad7706c68187ced0f,How do expert systems work in AI?
47398e0b58df02bad7706c68187ced0f,What comprises an AI expert system?
7d099d7a7c225ee441b7496dcabcfe72,Explain RNNs.
7d099d7a7c225ee441b7496dcabcfe72,How do RNNs handle sequences?
7d099d7a7c225ee441b7496dcabcfe72,Why use RNNs for temporal data?
7d099d7a7c225ee441b7496dcabcfe72,What makes RNNs different from traditional networks?
7d099d7a7c225ee441b7496dcabcfe72,How do RNNs retain past information?
d77026cf41bbca1f2dd798da7f515cb6,How do supervised and unsupervised learning differ?
d77026cf41bbca1f2dd798da7f515cb6,What distinguishes supervised from unsupervised learning?
d77026cf41bbca1f2dd798da7f515cb6,How are supervised and unsupervised learning categorized?
d77026cf41bbca1f2dd798da7f515cb6,What is the key difference in data between supervised and unsupervised learning?
d77026cf41bbca1f2dd798da7f515cb6,What sets apart supervised from unsupervised machine learning?
14fdb0cf67b004eaeb609df9664fba6b,Explain hyperparameters in ML.
14fdb0cf67b004eaeb609df9664fba6b,What role do hyperparameters play?
14fdb0cf67b004eaeb609df9664fba6b,How are hyperparameters different from parameters?
14fdb0cf67b004eaeb609df9664fba6b,Why is hyperparameter tuning crucial?
14fdb0cf67b004eaeb609df9664fba6b,What are examples of ML hyperparameters?
b1e94d1bc8d87042540f9a990f32e15d,Explain Bayesian network concepts?
b1e94d1bc8d87042540f9a990f32e15d,How do Bayesian networks represent data?
b1e94d1bc8d87042540f9a990f32e15d,What are the components of a Bayesian network?
b1e94d1bc8d87042540f9a990f32e15d,How can Bayesian networks be applied?
b1e94d1bc8d87042540f9a990f32e15d,Why use Bayesian networks in AI?
a3a691c9a3a78519595e1934efad62c3,What does encryption mean?
a3a691c9a3a78519595e1934efad62c3,Describe the function of encryption.
a3a691c9a3a78519595e1934efad62c3,How does data encryption occur?
a3a691c9a3a78519595e1934efad62c3,Mention encryption categories.
a3a691c9a3a78519595e1934efad62c3,What are common encryption algorithms?
